Name|Brewery|Style|Rating
Call Me Old Fashioned Barrel Aged Ale with natural Flavoring and caramel color|Central Waters Brewing Company|Red Ale - Imperial / Double|3.92 in 2024
Buzzy Badger Coffee Ale|Badger State Brewing|Brown Ale - English|3.92 in 2024
Maibock|Giant Jones Brewing Company|Bock - Hell / Maibock / Lentebock|3.92 in 2024
Perky Porter™|Stillmank Brewing Company|Porter - English|3.92 in 2024
Prancing Pony Porter|Hop Yard Ale Works|Porter - English|3.92 in 2024
Nevermore|Rush River Brewing|Stout - Oatmeal|3.91 in 2024
Bedlam!|Ale Asylum|IPA - Belgian|3.91 in 2024
Nevermore|Rush River Brewing|Stout - Oatmeal|3.91 in 2024
Black Death|Lakefront Brewery|Stout - Irish Dry|3.91 in 2024
Ha-Spoona Colada Hazy IPA|Round Man Brewing Co.|IPA - English|3.91 in 2024
Kaves|Giant Jones Brewing Company|Belgian Strong Golden Ale|3.91 in 2024
Nordheim|Fifth Ward Brewing Company|Red Ale - American Amber / Red|3.9 in 2024
Pint Puller|Working Draft Beer Company|Bitter - Session / Ordinary|3.9 in 2024
Canadian Style Spruce Beer|Giant Jones Brewing Company|Spiced / Herbed Beer|3.9 in 2024
Tri-Lakes Lager|Up North Brewing Company|Lager - Polotmavé (Czech Amber)|3.9 in 2024
Pint Puller|Working Draft Beer Company|Bitter - Session / Ordinary|3.9 in 2024
Canadian Style Spruce Beer|Giant Jones Brewing Company|Spiced / Herbed Beer|3.9 in 2024
Tri-Lakes Lager|Up North Brewing Company|Lager - Polotmavé (Czech Amber)|3.9 in 2024
Westown Black Coffee Ale|Central Waters Brewing Company|Dark Ale|3.89 in 2024
Bend Over Bockwards|1840 Brewing Company|Bock - Single / Traditional|3.89 in 2024
Weizenbock|Bavarian Bierhaus|Bock - Weizenbock|3.89 in 2024
Oktoberfest|Knuth Brewing Company|Lager - Amber / Red|3.89 in 2024
European Vacay|Working Draft Beer Company|Lager - Munich Dunkel|3.89 in 2024
The Pale One|Working Draft Beer Company|Festbier|3.89 in 2024
Rip Saw – Irish Ale|Sawmill Brewing Company|Red Ale - Irish|3.88 in 2024
Lion’s Claw|Raised Grain Brewing Company|IPA - Belgian|3.88 in 2024
Gentry’s Granny’s Cherry Crisp Hard Cider|One Barrel Brewing Company|Cider - Sweet|3.88 in 2024
Shipwrecks of Rawley Point Volume 1|Cool City Brewing|IPA - Session|3.88 in 2024
Red Birch Sapling|Timber Tap Taproom And Brewery|Red Ale - Other|3.88 in 2024
175 Bock|Fifth Ward Brewing Company|Bock - Single / Traditional|3.88 in 2024
Elbow Patches|Working Draft Beer Company|Bitter - Extra Special / Strong (ESB)|3.88 in 2024
Cherries, Simply (Blend I)|Black Rose Blending Co.|Wild Ale - American|3.88 in 2024
Coffee Blonde Lager|Jacob Leinenkugel Brewing Company|Lager - Other|3.88 in 2024
Red Birch Sapling|Timber Tap Taproom And Brewery|Red Ale - Other|3.88 in 2024
175 Bock|Fifth Ward Brewing Company|Bock - Single / Traditional|3.88 in 2024
Aunt Bernice Strawberry Rhubarb Milkshake Wheat|PetSkull Brewing Company|Wheat Beer - Other|3.87 in 2024
Cup O’ Snow|PetSkull Brewing Company|Stout - White / Golden|3.87 in 2024
Stupid Sexy Flanders|Full Mile Beer Co. & Kitchen|Sour - Flanders Red Ale|3.87 in 2024
Mr. T Starter Kit|Young Blood Beer Company|Brown Ale - American|3.87 in 2024
Just A Phase- Mosaic Pale Ale|Central Waters Brewing Company|Pale Ale - Other|3.87 in 2024
Arnie|Zambaldi Beer|Lager - American|3.87 in 2024
Bière De Garde Blonde|Giant Jones Brewing Company|Farmhouse Ale - Bière de Garde|3.87 in 2024
